INTERVAL;M_DATE;PRICE_ZONE_ID;POWER_SYS_ID;E_USE_FACT
2;07.12.2018 0:00:00;1;630000;31090
3;07.12.2018 0:00:00;1;630000;32419
4;07.12.2018 0:00:00;1;630000;33445
5;07.12.2018 0:00:00;1;630000;34483
6;07.12.2018 0:00:00;1;630000;34426
7;07.12.2018 0:00:00;1;630000;34473
8;07.12.2018 0:00:00;1;630000;33905
9;07.12.2018 0:00:00;1;630000;33752
10;07.12.2018 0:00:00;1;630000;33730
11;07.12.2018 0:00:00;1;630000;33583
12;07.12.2018 0:00:00;1;630000;33573
13;07.12.2018 0:00:00;1;630000;34180
14;07.12.2018 0:00:00;1;630000;34527
15;07.12.2018 0:00:00;1;630000;34520
16;07.12.2018 0:00:00;1;630000;34156
17;07.12.2018 0:00:00;1;630000;33920
18;07.12.2018 0:00:00;1;630000;33631
19;07.12.2018 0:00:00;1;630000;32732
20;07.12.2018 0:00:00;1;630000;31851
21;07.12.2018 0:00:00;1;630000;31330
22;07.12.2018 0:00:00;1;630000;30924
23;07.12.2018 0:00:00;1;630000;30608
0;08.12.2018 0:00:00;1;630000;30516
1;08.12.2018 0:00:00;1;630000;30282
2;08.12.2018 0:00:00;1;630000;30641
3;08.12.2018 0:00:00;1;630000;31340
4;08.12.2018 0:00:00;1;630000;31741
5;08.12.2018 0:00:00;1;630000;32652
6;08.12.2018 0:00:00;1;630000;33344
7;08.12.2018 0:00:00;1;630000;33217
8;08.12.2018 0:00:00;1;630000;33330
9;08.12.2018 0:00:00;1;630000;33393
10;08.12.2018 0:00:00;1;630000;33171
11;08.12.2018 0:00:00;1;630000;33276
12;08.12.2018 0:00:00;1;630000;33183
13;08.12.2018 0:00:00;1;630000;33745
14;08.12.2018 0:00:00;1;630000;34233
15;08.12.2018 0:00:00;1;630000;34000
16;08.12.2018 0:00:00;1;630000;33558
17;08.12.2018 0:00:00;1;630000;33319
18;08.12.2018 0:00:00;1;630000;32979
19;08.12.2018 0:00:00;1;630000;32345
20;08.12.2018 0:00:00;1;630000;31432
